day,desktop,mobile,all
06/10/18,42.115572967678744,57.88442703232125,9189
06/17/18,43.75068946497518,56.24931053502482,9065
06/24/18,40.51761635493693,59.482383645063074,9196
07/01/18,41.45728643216081,58.5427135678392,9154
07/08/18,43.991797676008204,56.008202323991796,7315
07/15/18,43.35581968090802,56.64418031909197,9339
07/22/18,42.45878282108691,57.54121717891309,9826
07/29/18,40.62465991946893,59.37534008053107,9189
08/05/18,44.36974789915966,55.63025210084034,10115
08/12/18,41.894078308704565,58.105921691295435,9271
08/19/18,42.23091171022844,57.76908828977155,9718
08/26/18,41.08389980445107,58.916100195548935,10739
09/02/18,37.10484300159659,62.8951569984034,9395
09/09/18,39.6759145592929,60.3240854407071,8146
09/16/18,40.3469292076887,59.653070792311304,10665
09/23/18,43.75699888017917,56.243001119820825,14288
09/30/18,41.72025052192067,58.27974947807933,11975
10/07/18,40.57927440368812,59.42072559631188,9978
10/14/18,41.2345137594562,58.765486240543794,9121
10/21/18,43.15867628341112,56.84132371658889,9428
