day,desktop,mobile,all
06/10/18,40.51813471502591,59.48186528497409,2895
06/17/18,46.67255594817432,53.32744405182568,3396
06/24/18,45.1877133105802,54.8122866894198,2930
07/01/18,46.10368438213238,53.89631561786762,3067
07/08/18,42.21381918184943,57.78618081815057,2909
07/15/18,43.86363636363637,56.13636363636364,3520
07/22/18,45.14869330129168,54.85130669870833,3329
07/29/18,37.629629629629626,62.37037037037037,2025
08/05/18,46.524966261808366,53.475033738191634,2964
08/12/18,42.66581632653062,57.33418367346938,3136
08/19/18,43.64217252396166,56.35782747603834,3130
08/26/18,37.9086809470124,62.0913190529876,3548
09/02/18,35.94086849399446,64.05913150600554,3247
09/09/18,42.49910490511994,57.50089509488006,2793
09/16/18,40.75986720767244,59.24013279232755,2711
09/23/18,39.166666666666664,60.83333333333333,3960
09/30/18,46.81490384615385,53.18509615384615,3328
10/07/18,38.64692218350755,61.35307781649245,3444
10/14/18,46.946916231973,53.053083768027,3259
10/21/18,53.13188542650299,46.86811457349701,3177
